"country","pop2020"
"Ethiopia","114963.5880"
"Uganda","45741.0070"
"Afghanistan","38928.3460"
"Uzbekistan","33469.2030"
"Nepal","29136.8080"
"Niger","24206.6440"
"Burkina Faso","20903.2730"
"Mali","20250.8330"
"Malawi","19129.9520"
"Kazakhstan","18776.7070"
"Zambia","18383.9550"
"Chad","16425.8640"
"Zimbabwe","14862.9240"
"Rwanda","12952.2180"
"Burundi","11890.7840"
"Bolivia","11673.0210"
"South Sudan","11193.7250"
"Czech Republic","10708.9810"
"Azerbaijan","10139.1770"
"Hungary","9660.3510"
"Tajikistan","9537.6450"
"Belarus","9449.3230"
"Austria","9006.3980"
"Serbia","8737.3710"
"Switzerland","8654.6220"
"Laos","7275.5600"
"Paraguay","7132.5380"
"Kyrgyzstan","6524.1950"
"Turkmenistan","6031.2000"
"Slovakia","5459.6420"
"Central African Republic","4829.7670"
"Moldova","4033.9630"
"Mongolia","3278.2900"
"Armenia","2963.2430"
"Botswana","2351.6270"
"Lesotho","2142.2490"
"Macedonia","2083.3740"
"Swaziland","1160.1640"
"Bhutan","771.6080"
"Luxembourg","625.9780"
"Andorra","77.2650"
"Liechtenstein","38.1280"
"San Marino","33.9310"
"Vatican City","0.8010"
